step,loss,loss/mean,loss/std,lr,momentum
1,0.9897413717375861,0.9897413717375861,0.00046077522097652583,0.001,0.9
2,0.9898151726949782,0.9898151726949782,0.0005264580723996579,0.001,0.9
3,0.9894513667575897,0.9894513667575897,0.00038480090241847683,0.001,0.9
4,0.9898039282314361,0.9898039282314361,0.0008354938319325471,0.001,0.9
5,0.9897594111306327,0.9897594111306327,0.00046713523478889257,0.001,0.9
6,0.9892095270610991,0.9892095270610991,0.0004898170226643732,0.001,0.9
7,0.989474304138668,0.989474304138668,0.0009586023636408629,0.001,0.9
8,0.989618370457301,0.989618370457301,0.0006286134177896839,0.001,0.9
9,0.9896036859542604,0.9896036859542604,0.0005195076505461645,0.001,0.9
10,0.9893636325049021,0.9893636325049021,0.00031907871816489386,0.001,0.9
11,0.9901356432172987,0.9901356432172987,0.000728239412559705,0.001,0.9
12,0.9901249030279734,0.9901249030279734,0.000677353567537527,0.001,0.9
13,0.990416461513156,0.990416461513156,0.0008552478264390639,0.001,0.9
14,0.9896109965112474,0.9896109965112474,0.0008920582933204873,0.001,0.9
15,0.9894847434664529,0.9894847434664529,0.001040418108817553,0.001,0.9
16,0.9900047722316924,0.9900047722316924,0.0003314328191817872,0.001,0.9
17,0.9897610989827959,0.9897610989827959,0.0005702275313360072,0.001,0.9
18,0.9903211309796288,0.9903211309796288,0.0008265449211742346,0.001,0.9
19,0.9894391771346803,0.9894391771346803,0.0009364377459114239,0.001,0.9
20,0.9898784785043626,0.9898784785043626,0.0007601370201908474,0.001,0.9
21,0.9900706173881652,0.9900706173881652,0.0006649109691954133,0.001,0.9
22,0.9897906051741706,0.9897906051741706,0.00044619642365720317,0.001,0.9
23,0.9894185331132677,0.9894185331132677,0.0013619530833015702,0.001,0.9
24,0.9902955217966958,0.9902955217966958,0.0004795737627657278,0.001,0.9
25,0.9896553811572847,0.9896553811572847,0.0005171345197967665,0.001,0.9
