step,loss,loss/mean,loss/std,lr,momentum
1,0.5892411300114223,0.5892411300114223,0.042342189027308505,0.0001,0.9
2,0.5698119553308638,0.5698119553308638,0.04218091302930937,0.0001,0.9
3,0.5950611659458706,0.5950611659458706,0.04458190960916017,0.0001,0.9
4,0.5887546671761407,0.5887546671761407,0.028938157343652012,0.0001,0.9
5,0.5672324044363839,0.5672324044363839,0.03196563859009504,0.0001,0.9
6,0.5466651821893359,0.5466651821893359,0.01613127525716522,0.0001,0.9
7,0.5592579548321073,0.5592579548321073,0.03895037074011776,0.0001,0.9
8,0.5536893852173336,0.5536893852173336,0.02911675618253849,0.0001,0.9
9,0.5668519697492085,0.5668519697492085,0.02005974298947545,0.0001,0.9
10,0.5528462737325638,0.5528462737325638,0.04104166170344988,0.0001,0.9
11,0.5703671035312471,0.5703671035312471,0.05536475297210886,0.0001,0.9
12,0.5343762645645748,0.5343762645645748,0.023530496569442998,0.0001,0.9
13,0.5492570229939052,0.5492570229939052,0.041285265693486395,0.0001,0.9
14,0.5384151623362586,0.5384151623362586,0.023313160073878434,0.0001,0.9
15,0.5329129241761708,0.5329129241761708,0.020997825377022373,0.0001,0.9
