step,dice,dice/_macro,dice/_micro,dice/class_00,dice/class_01,dice/class_02,dice/class_03,iou,iou/_macro,iou/_micro,iou/class_00,iou/class_01,iou/class_02,iou/class_03,loss,loss/mean,loss/std,lr,momentum,trevsky,trevsky/_macro,trevsky/_micro,trevsky/class_00,trevsky/class_01,trevsky/class_02,trevsky/class_03
1,0.41910892724990845,0.41910892724990845,0.45591405034065247,0.5642348527908325,0.040789104998111725,0.5075452327728271,0.5638664364814758,0.2866267263889313,0.2866267263889313,0.29526469111442566,0.3929854929447174,0.020819148048758507,0.3400740921497345,0.39262819290161133,0.5441577037175497,0.5441577037175497,0.03396834888922796,0.0001,0.9,0.4223864674568176,0.4223864674568176,0.43595191836357117,0.5347230434417725,0.026637936010956764,0.6380122900009155,0.4901726543903351
2,0.4342031478881836,0.4342031478881836,0.4782847762107849,0.5945712924003601,0.030715642496943474,0.5244860053062439,0.5870396494865417,0.3023946285247803,0.3023946285247803,0.314306378364563,0.4230533540248871,0.01559736393392086,0.35545986890792847,0.41546788811683655,0.5223851733737521,0.5223851733737521,0.04152388459088659,0.0001,0.9,0.4396287202835083,0.4396287202835083,0.4484122395515442,0.6090832948684692,0.01962094008922577,0.6121053099632263,0.5177052617073059
3,0.41038796305656433,0.41038796305656433,0.45799779891967773,0.610012412071228,0.026441942900419235,0.5160903334617615,0.4890070855617523,0.28092095255851746,0.28092095255851746,0.297014981508255,0.43886178731918335,0.013398108072578907,0.34779092669487,0.32363295555114746,0.541491288987417,0.541491288987417,0.04825528123208551,0.0001,0.9,0.4248741567134857,0.4248741567134857,0.43728339672088623,0.6578091979026794,0.016862062737345695,0.6368240118026733,0.38800129294395447
4,0.42460453510284424,0.42460453510284424,0.46158018708229065,0.6038773059844971,0.041223008185625076,0.5189454555511475,0.5343722701072693,0.2921440601348877,0.2921440601348877,0.3000352382659912,0.43253883719444275,0.021045276895165443,0.35038915276527405,0.3646029829978943,0.5397104062731304,0.5397104062731304,0.030803253718591734,0.0001,0.9,0.4188213348388672,0.4188213348388672,0.42535287141799927,0.6155679225921631,0.02672201208770275,0.6031648516654968,0.42983055114746094
5,0.42854756116867065,0.42854756116867065,0.47766533493995667,0.6430632472038269,0.01851656101644039,0.5274938344955444,0.5251166820526123,0.29938024282455444,0.29938024282455444,0.3137715458869934,0.47390806674957275,0.00934479758143425,0.3582286238670349,0.35603949427604675,0.5222609062043447,0.5222609062043447,0.034739979228012766,0.0001,0.9,0.4478469491004944,0.4478469491004944,0.462202250957489,0.6967811584472656,0.011770111508667469,0.6625699400901794,0.42026665806770325
6,0.4514821469783783,0.4514821469783783,0.49807700514793396,0.6242603659629822,0.022647103294730186,0.5322386026382446,0.6267825365066528,0.3210673928260803,0.3210673928260803,0.33162620663642883,0.4537634253501892,0.011453242972493172,0.3626192808151245,0.45643362402915955,0.5014980775969369,0.5014980775969369,0.014477505637744682,0.0001,0.9,0.4703444838523865,0.4703444838523865,0.47844523191452026,0.7090243101119995,0.014362197369337082,0.6250918507575989,0.5328996181488037
7,0.4468567371368408,0.4468567371368408,0.4816047251224518,0.6285901069641113,0.0764712318778038,0.5215181708335876,0.5608475804328918,0.3101387023925781,0.3101387023925781,0.3171800673007965,0.4583532214164734,0.03975570201873779,0.35273897647857666,0.38970687985420227,0.5180401149250212,0.5180401149250212,0.0424224220230631,0.0001,0.9,0.4560466706752777,0.4560466706752777,0.46583643555641174,0.6656315922737122,0.051198724657297134,0.6496497392654419,0.45770660042762756
8,0.44239288568496704,0.44239288568496704,0.48931264877319336,0.6477048993110657,0.018246319144964218,0.5433093309402466,0.5603111386299133,0.3125845789909363,0.3125845789909363,0.32390066981315613,0.4789671003818512,0.009207158349454403,0.37297508120536804,0.3891890347003937,0.5114292672702244,0.5114292672702244,0.03258358164930601,0.0001,0.9,0.4529697895050049,0.4529697895050049,0.46301618218421936,0.6987844109535217,0.011565159074962139,0.6445416212081909,0.45698803663253784
9,0.43316686153411865,0.43316686153411865,0.47639814019203186,0.63002610206604,0.027412239462137222,0.5281068086624146,0.5471221804618835,0.3022877275943756,0.3022877275943756,0.31267890334129333,0.4598817825317383,0.013896588236093521,0.35879427194595337,0.3765782415866852,0.5235723711195446,0.5235723711195446,0.024326705408453598,0.0001,0.9,0.4444243609905243,0.4444243609905243,0.45526978373527527,0.6530426144599915,0.0174835417419672,0.6467034816741943,0.4604678153991699
10,0.4393119812011719,0.4393119812011719,0.4844217300415039,0.6521198153495789,0.0603911317884922,0.5377308130264282,0.5070062279701233,0.305568665266037,0.305568665266037,0.3196283280849457,0.4838114082813263,0.03113572485744953,0.3677372336387634,0.33959031105041504,0.5168698212457082,0.5168698212457082,0.04267541515096538,0.0001,0.9,0.45105355978012085,0.45105355978012085,0.46742120385169983,0.6947073936462402,0.03926148638129234,0.6677733659744263,0.40247204899787903
